frame,id,label,conf,center_x,center_y
53,9,person,0.5574212670326233,87,190
54,1,person,0.8685029149055481,791,353
54,5,person,0.7920020222663879,737,238
54,14,person,0.6654075384140015,648,226
54,11,person,0.6566206216812134,313,258
54,9,person,0.651522696018219,84,190
54,9,person,0.558834969997406,127,158
54,3,person,0.5587091445922852,479,324
54,14,person,0.5195266604423523,604,274
54,4,person,0.5031506419181824,393,130
55,1,person,0.8720642924308777,792,354
55,5,person,0.7614688873291016,739,239
55,11,person,0.6888423562049866,312,258
55,9,person,0.6705819964408875,83,190
55,15,person,0.647813081741333,652,224
55,12,person,0.6354774236679077,135,158
55,14,person,0.5879411697387695,606,274
55,17,person,0.5367411971092224,281,154
55,9,person,0.5326332449913025,113,184
56,1,person,0.8770424127578735,791,360
56,3,person,0.7449776530265808,481,325
56,11,person,0.7309113144874573,310,258
56,16,person,0.723142683506012,62,391
56,9,person,0.6759546399116516,137,158
56,5,person,0.6655289530754089,743,240
56,14,person,0.6609178185462952,610,273
56,15,person,0.6373629570007324,655,220
56,17,person,0.6093419194221497,283,154
56,18,person,0.595711350440979,82,190
56,4,person,0.5015516877174377,397,130
57,1,person,0.856238842010498,792,366
57,3,person,0.8191723823547363,482,325
57,11,person,0.7389606833457947,309,258
57,16,person,0.71957927942276,64,389
57,18,person,0.7052608132362366,81,190
57,5,person,0.7051270008087158,748,241
57,9,person,0.7036738395690918,138,158
57,15,person,0.6973641514778137,656,220
57,17,person,0.6113524436950684,285,154
57,9,person,0.5826953649520874,113,183
57,14,person,0.5758635401725769,612,268
57,4,person,0.5142543315887451,399,130
58,1,person,0.861296534538269,795,371
58,3,person,0.7854548692703247,483,325
58,16,person,0.7196425199508667,64,389
58,9,person,0.7166357040405273,139,157
58,5,person,0.7145209908485413,752,242
58,11,person,0.7031195759773254,308,257
58,18,person,0.6991153359413147,81,190
58,14,person,0.6693134903907776,657,221
58,14,person,0.5903038382530212,613,263
59,1,person,0.8454103469848633,795,375
59,5,person,0.7899832725524902,757,243
59,16,person,0.7898015379905701,66,387
59,11,person,0.7161133885383606,306,256
59,9,person,0.6876068115234375,141,157
59,18,person,0.6810833811759949,83,190
59,14,person,0.6578177213668823,615,261
59,3,person,0.654303789138794,484,325
59,14,person,0.6415212154388428,659,220
59,17,person,0.5597233772277832,285,154
60,1,person,0.8531002998352051,795,379
60,16,person,0.7643055319786072,67,383
60,9,person,0.7256674766540527,144,159
60,11,person,0.7211213111877441,305,255
60,14,person,0.707811713218689,616,264
60,3,person,0.6886510848999023,484,325
60,5,person,0.6810175776481628,762,244
60,12,person,0.6773084998130798,86,191
60,14,person,0.6505427360534668,662,220
